location_name,segment_zone,congestion_risk,summary,mitigation_notes
Main & 5th,Downtown,high,"Downtown arterial with heavy retail and event traffic. Weekday peaks 7-9 AM and 4-7 PM; Saturday midday spikes near festivals. Level 4-5 common during incidents.","Coordinate with transit detours; prioritize signal retiming on cross streets; push alternate routes via app when level >= 4."
Highway 101 @ Exit 12,North Corridor,critical,"Merge-heavy segment with limited acceleration lanes. Chronic backups when upstream incidents occur; weather amplifies stop-and-go.","Pre-position towing; variable message signs 5 miles upstream; consider shoulder use policy only under police direction."
Downtown Plaza,Central,medium,"Pedestrian volume and curbside pickup create friction; congestion often localized rather than corridor-wide.","Expand loading zones off-peak; enforce curb management; short green extensions for pedestrian phases only outside peaks."
River Bridge South,East Side,high,"Single bridge approach with no parallel crossing within 2 miles. Any stall or crash propagates quickly.","Rapid incident detection; partner with marine traffic when drawbridge cycles add delay; communicate expected clearance times."
Airport Access Rd,West,low,"Generally free-flow except during major flight banks and holidays. Construction windows can temporarily raise levels.","Schedule lane closures overnight; sync with airport ground ops for surge notifications."
Industrial Park Gate 3,South,medium,"Truck queuing at security checks backs onto public road mid-morning. Not captured by typical commute models.","Stagger gate appointments; holding pens inside the park; public message when queue exceeds 10 minutes."
University Ave & College,Central,high,"Class change bells and game days produce sharp 15-minute spikes; bike lanes reduce effective width.","Temporary officers on game days; delay non-urgent road work; micro-transit loops to reduce curb demand."
Lakefront Drive,East Side,low,"Scenic route with seasonal tourism; summer weekends see intermittent slowdowns near parking lots.","Event parking shuttles; dynamic parking availability in traveler apps."
Freight Corridor MM 8-10,Perimeter,critical,"Long-haul truck concentration and steep grades; slow trucks in right lane create passing churn and shockwaves.","Climbing lane enforcement; weigh station coordination; forecast-based speed advisories for trucks."
Central Station Hub,Downtown,high,"Intermodal hub: buses, rideshare, and taxis compete for curb space; transfers spike congestion in a 2-block radius.","Geofenced pickup zones; time-limited standing zones with camera enforcement; integrate rail delay feeds into street timing."
